"date","name","description","type","locations"
"1981-04-26","Orthodox Easter","Many Orthodox Christians in Australia celebrate Jesus Christ’s resurrection on Easter Sunday, also known as Pascha.","Orthodox","All"
"1981-04-27","Orthodox Easter Monday","Many Orthodox churches in Australia observe Easter Monday on the day after the Orthodox Easter Sunday date.","Orthodox","All"
"1981-04-27","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","WA"
"1981-04-30","Yom HaShoah","Yom Hashoah remembers the lives and sacrifices of about six million Holocaust victims who died during World War II. This observance is annually held on the 27th day of the month of Nisan.","Hebrew","All"
"1981-05-04","May Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NT"
"1981-05-04","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Qld"
"1981-05-07","Yom HaAtzmaut","Many Jewish communities in Australia celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"1981-05-10","Mother's Day","Mother’s Day is celebrated in Australia on the second Sunday of May each year.","Observance","All"
"1981-05-18","Adelaide Cup","Adelaide Cup is a state holiday and a horse racing event in South Australia.","Local holiday","SA"
"1981-05-22","Lag B'Omer","Many Jewish Australians observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"1981-05-28","Ascension Day","Ascension Day is the 40th day of Easter and commemorates Jesus Christ’s ascension into heaven, according to Christian belief.","Christian","All"
"1981-05-31","Isra and Mi'raj","Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.","Muslim","All"
"1981-06-01","Foundation Day","Foundation Day is a public holiday in the state of Western Australia to commemorate the founding of the first British colony in the state.","Common local holiday","WA"
"1981-06-06","Queensland Day","Queenslanders commemorate their state’s birthday on Queensland Day in Australia.","Local observance","All"
"1981-06-07","Pentecost","Many Christians in Australia observe Pentecost, also known as Whitsunday or Whit Sunday.","Christian","All"
"1981-06-08","Whit Monday","Whit Monday is a Christian observance also known as Pentecost Monday. It is the day after Pentecost, or Whitsunday.","Christian","All"
"1981-06-08","Shavuot","Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals celebrated among many Jewish Australians.","Hebrew","All"
"1981-06-08","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","Qld"
"1981-06-08","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","All except Qld, WA"
"1981-06-14","Trinity Sunday","Many churches in Australia observe Trinity Sunday, a Christian feast that occurs on the first Sunday after Pentecost.","Christian","All"
"1981-06-18","Corpus Christi","Corpus Christi is a Christian observance that honors the Holy Eucharist.","Christian","All"
"1981-06-21","June Solstice",NA,"Season","All"
"1981-07-03","Ramadan Start","Many Muslims in Australia welcome Ramadan as period of fasting, self-evaluation and spiritual growth. Ramadan is the ninth month in the Islamic calendar.","Muslim","All"
"1981-07-05","First Day of NAIDOC Week",NA,"Observance","All"
"1981-07-28","Laylatul Qadr (Night of Power)","Laylat al-Qadr is most likely to be held on one of the last 10 days of month of Ramadan in the Islamic calendar.","Muslim","All"
"1981-08-02","Eid ul Fitr","Eid al-Fitr, which is on the first day of the Islamic month of Shawwal, marks the end of the month-long fast of Ramadan.","Muslim","All"
"1981-08-03","New South Wales Bank Holiday","The New South Wales Bank Holiday falls on the first Monday of August.","Local holiday","NSW"
"1981-08-03","Northern Territory Picnic Day","Picnic Day is a public holiday annually held in Australia’s Northern Territory on the first Monday of August.","Local holiday","NT"
"1981-08-09","Tisha B'Av","Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.","Hebrew","All"
"1981-08-12","Royal National Agricultural Show Day Queensland","The Royal National Agricultural (RNA) Show Day is usually held in Brisbane, the capital city of the state of Queensland, Australia, on the second or third Wednesday in August.","Local holiday","Qld"
"1981-08-15","Assumption of Mary","The Feast of the Assumption of Mary is an annual Christian observance in Australia held on August 15. It is considered a Holy Day of Obligation - a day when some Christian denominations are obliged to attend mass.","Christian","All"
"1981-09-06","Father's Day","Father’s Day celebrates the contribution that fathers and father figures make to their children’s lives.","Observance","All"
"1981-09-23","September Equinox",NA,"Season","All"
"1981-09-28","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","WA"
"1981-09-29","Rosh Hashana","Rosh Hashana, also spelled Rosh Hashanah, is commonly known as the Jewish New Year. The event begins on the first day of Tishrei (or Tishri), which is the seventh month in the Jewish calendar.","Hebrew","All"
"1981-10-04","Feast of St Francis of Assisi","Many churches in Australia celebrate the Feast of St Francis of Assisi to honor St Francis, the patron saint of animals and the environment, on October 4 each year.","Christian","All"
"1981-10-05","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NSW, ACT"
"1981-10-08","Yom Kippur","Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.","Hebrew","All"
"1981-10-09","Eid ul Adha","Many Muslims in Australia celebrate Eid al- Adha around the 10th to the 13th days of the Islamic month of Dhu al-Hijjah.","Muslim","All"
"1981-10-12","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","SA"
"1981-10-13","First day of Sukkot","The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in Australia.","Hebrew","All"
"1981-10-19","Hoshana Rabbah","Many Jewish communities in Australia observe the last day of Sukkot, which marks the end of the Sukkot festival.","Hebrew","All"
"1981-10-20","Shemini Atzeret","Shemini Atzeret (or Shmini Atzeret) is a Jewish holiday dedicated to the love of God, while Simchat Torah (Simchas Torah or Simhat Torah) marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"1981-10-21","Simchat Torah","Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"1981-10-25","Daylight Saving Time starts",NA,"Clock change/Daylight Saving Time","All"
"1981-10-30","Muharram/Islamic New Year","Muharram is the first month of the Islamic calendar and a time of remembrance or mourning.","Muslim","All"
"1981-10-31","Halloween","Halloween is a festive occasion that is celebrated in Australian communities on October 31 each year.","Observance","All"
"1981-11-01","All Saints' Day","Many churches in Australia annually observe All Saints' Day, also known as All Hallows' Day.","Christian","All"
"1981-11-02","All Souls' Day","All Souls’ Day is observed among some Christians in Australia on November 2 each year.","Christian","All"
"1981-11-02","First Monday of November","Recreation Day is annually celebrated in northern Tasmania, in Australia, on the first Monday of November.","Local holiday","Tas (northern)"
"1981-11-03","Melbourne Cup Day","Melbourne Cup Day is Australia’s most celebrated horse racing event. It is an annual public holiday in the state of Victoria and is observed nationwide on the first Tuesday of November.","Local holiday","Vic (partly)"
"1981-11-11","Remembrance Day","Remembrance Day in Australia is annually observed on November 11 although it is not a public holiday. This event remembers those who died as a result of war, particularly from World War I onwards.","Observance","All"
"1981-11-29","First Sunday of Advent","Many Christians mark the First Sunday of Advent as the start of the Advent season leading up to Christmas.","Observance","All"
