"","date_id","calendar_date","year_num","month_num","day_num","week_num","week_num_year","year_week_num","day_name","day_name_abbrev","day_number","weekend_ind","season","event_name","event_type","holiday_ind"
"111",19800423,1980-04-23,1980,2,23,16,1980,"1980-16","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"112",19800424,1980-04-24,1980,2,24,16,1980,"1980-16","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"113",19800425,1980-04-25,1980,2,25,17,1980,"1980-17","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"114",19800426,1980-04-26,1980,2,26,17,1980,"1980-17","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"115",19800427,1980-04-27,1980,2,27,17,1980,"1980-17","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"116",19800428,1980-04-28,1980,2,28,17,1980,"1980-17","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"117",19800429,1980-04-29,1980,2,29,17,1980,"1980-17","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"118",19800430,1980-04-30,1980,2,30,17,1980,"1980-17","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"119",19800501,1980-05-01,1980,2,1,17,1980,"1980-17","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"120",19800502,1980-05-02,1980,2,2,18,1980,"1980-18","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"121",19800503,1980-05-03,1980,2,3,18,1980,"1980-18","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"122",19800504,1980-05-04,1980,2,4,18,1980,"1980-18","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"123",19800505,1980-05-05,1980,2,5,18,1980,"1980-18","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"124",19800506,1980-05-06,1980,2,6,18,1980,"1980-18","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"125",19800507,1980-05-07,1980,2,7,18,1980,"1980-18","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"126",19800508,1980-05-08,1980,2,8,18,1980,"1980-18","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"127",19800509,1980-05-09,1980,2,9,19,1980,"1980-19","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"128",19800510,1980-05-10,1980,2,10,19,1980,"1980-19","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"129",19800511,1980-05-11,1980,2,11,19,1980,"1980-19","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"130",19800512,1980-05-12,1980,2,12,19,1980,"1980-19","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"131",19800513,1980-05-13,1980,2,13,19,1980,"1980-19","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
